Episode: 1, Epsilon: 1.0, Episode Reward: -478559.1584317825, Mean Loss: 3.087931949645281
Episode: 2, Epsilon: 0.995, Episode Reward: -474588.6688050897, Mean Loss: 3.072687804698944
Episode: 3, Epsilon: 0.990025, Episode Reward: -475823.6401994422, Mean Loss: 2.9932961836457253
Episode: 4, Epsilon: 0.985074875, Episode Reward: -472546.4014652274, Mean Loss: 3.032249456271529
Episode: 5, Epsilon: 0.9801495006250001, Episode Reward: -474886.3118098743, Mean Loss: 2.844306514598429
Episode: 6, Epsilon: 0.9752487531218751, Episode Reward: -473943.7017746767, Mean Loss: 3.0481327641755342
Episode: 7, Epsilon: 0.9703725093562657, Episode Reward: -475208.8750937226, Mean Loss: 3.1680455431342125
Episode: 8, Epsilon: 0.9655206468094844, Episode Reward: -462183.67296752613, Mean Loss: 2.8918251488357782
Episode: 9, Epsilon: 0.960693043575437, Episode Reward: -471108.3866235566, Mean Loss: 2.7849586475640535
Episode: 10, Epsilon: 0.9558895783575597, Episode Reward: -468247.62767888664, Mean Loss: 2.5749971924815327
Episode: 11, Epsilon: 0.9511101304657719, Episode Reward: -468536.95994839736, Mean Loss: 2.1765934599388856
Episode: 12, Epsilon: 0.946354579813443, Episode Reward: -477015.1282494928, Mean Loss: 2.2902393361582654
Episode: 13, Epsilon: 0.9416228069143757, Episode Reward: -465422.1052352748, Mean Loss: 2.3738442555477377
Episode: 14, Epsilon: 0.9369146928798039, Episode Reward: -446003.23692427133, Mean Loss: 2.2351042343871086
Episode: 15, Epsilon: 0.9322301194154049, Episode Reward: -454779.1678891495, Mean Loss: 2.3332841391966213
Episode: 16, Epsilon: 0.9275689688183278, Episode Reward: -451691.89060770243, Mean Loss: 2.6621340191486524
Episode: 17, Epsilon: 0.9229311239742362, Episode Reward: -413596.8946075984, Mean Loss: 2.424854141951073
Episode: 18, Epsilon: 0.918316468354365, Episode Reward: -430745.0532243968, Mean Loss: 2.4909277801489225
Episode: 19, Epsilon: 0.9137248860125932, Episode Reward: -414456.8491877848, Mean Loss: 2.7301117383904057
Episode: 20, Epsilon: 0.9091562615825302, Episode Reward: -424405.41736041626, Mean Loss: 2.980498049105506
Episode: 21, Epsilon: 0.9046104802746175, Episode Reward: -399897.25117247726, Mean Loss: 2.9594020832228125
Episode: 22, Epsilon: 0.9000874278732445, Episode Reward: -429919.6469126029, Mean Loss: 2.16035812172413
Episode: 23, Epsilon: 0.8955869907338783, Episode Reward: -399708.41971465235, Mean Loss: 2.144209045320167
Episode: 24, Epsilon: 0.8911090557802088, Episode Reward: -387739.60562595853, Mean Loss: 3.267336437584163
Episode: 25, Epsilon: 0.8866535105013078, Episode Reward: -362240.0527152257, Mean Loss: 3.1856216411397327
